File,location,tag
gte_tags_fauna.csv,316465,Fauna
gte_tags_fauna.csv,316495,Fauna
gte_tags_fauna.csv,316526,Fauna
gte_tags_ofh.csv,316803,Other Female Human
gte_tags_ofh.csv,316844,Other Female Human
gte_tags_edward.csv,316956,Edward
gte_tags_edward.csv,317262,Edward
gte_tags_flora.csv,317330,Flora
gte_tags_hazel.csv,317487,Hazel
gte_tags_fauna.csv,317550,Fauna
gte_tags_ofh.csv,317609,Other Female Human
gte_tags_edward.csv,317679,Edward
gte_tags_hazel.csv,318185,Hazel
gte_tags_reddin.csv,318343,Reddin
gte_tags_hazel.csv,318686,Hazel
gte_tags_reddin.csv,318791,Reddin
gte_tags_reddin.csv,318884,Reddin
gte_tags_reddin.csv,319539,Reddin
gte_tags_hazel.csv,319694,Hazel
gte_tags_reddin.csv,319822,Reddin
gte_tags_edward.csv,319830,Edward
gte_tags_flora.csv,319872,Flora
gte_tags_fauna.csv,319976,Fauna
gte_tags_reddin.csv,319990,Reddin
gte_tags_edward.csv,320036,Edward
gte_tags_reddin.csv,320179,Reddin
gte_tags_edward.csv,320219,Edward
gte_tags_ofh.csv,320316,Other Female Human
gte_tags_reddin.csv,320355,Reddin
gte_tags_ofh.csv,320411,Other Female Human
gte_tags_reddin.csv,320486,Reddin
gte_tags_reddin.csv,320545,Reddin
gte_tags_hazel.csv,320798,Hazel
gte_tags_fauna.csv,321050,Fauna
gte_tags_hazel.csv,321064,Hazel
gte_tags_fauna.csv,321287,Fauna
gte_tags_reddin.csv,321479,Reddin
gte_tags_fauna.csv,321878,Fauna
gte_tags_hazel.csv,321929,Hazel
gte_tags_hazel.csv,321956,Hazel
gte_tags_reddin.csv,322134,Reddin
gte_tags_edward.csv,322617,Edward
gte_tags_edward.csv,322684,Edward
gte_tags_reddin.csv,322765,Reddin
gte_tags_hazel.csv,322828,Hazel
gte_tags_reddin.csv,322909,Reddin
gte_tags_fauna.csv,322999,Fauna
gte_tags_reddin.csv,323098,Reddin
gte_tags_reddin.csv,323270,Reddin
gte_tags_hazel.csv,323322,Hazel
gte_tags_hazel.csv,323435,Hazel
gte_tags_hazel.csv,323779,Hazel
gte_tags_reddin.csv,324166,Reddin
gte_tags_hazel.csv,324490,Hazel
gte_tags_hazel.csv,324523,Hazel
gte_tags_hazel.csv,324747,Hazel
gte_tags_flora.csv,324866,Flora
